wlan.sa,frame.time,frame.len,radiotap.present.dbm_antsignal
"b6:2e:03:77:1c:1b","Oct 24, 2024 03:42:22.515562083 PST","73","True"
"b6:2e:03:77:1c:1b","Oct 24, 2024 03:42:22.548650741 PST","73","True"
"b6:2e:03:77:1c:1b","Oct 24, 2024 03:42:22.579408783 PST","73","True"
"b2:e3:58:04:89:8a","Oct 24, 2024 03:42:32.512370256 PST","73","True"
"b2:e3:58:04:89:8a","Oct 24, 2024 03:42:32.533794153 PST","73","True"
"b2:e3:58:04:89:8a","Oct 24, 2024 03:42:32.590233047 PST","73","True"
"b2:e3:58:04:89:8a","Oct 24, 2024 03:42:32.623154625 PST","73","True"
"b2:e3:58:04:89:8a","Oct 24, 2024 03:42:32.644527803 PST","73","True"
"52:56:9b:d5:f4:f0","Oct 24, 2024 03:42:42.574553201 PST","73","True"
"52:56:9b:d5:f4:f0","Oct 24, 2024 03:42:42.593554346 PST","73","True"
"0e:eb:e5:f3:4f:55","Oct 24, 2024 03:42:52.564901670 PST","73","True"
"0e:eb:e5:f3:4f:55","Oct 24, 2024 03:42:52.596825082 PST","73","True"
"0e:eb:e5:f3:4f:55","Oct 24, 2024 03:42:52.678302385 PST","73","True"
"0e:eb:e5:f3:4f:55","Oct 24, 2024 03:42:52.678308585 PST","73","True"
"e6:05:a7:1e:9d:57","Oct 24, 2024 03:42:55.860184249 PST","73","True"
"e6:05:a7:1e:9d:57","Oct 24, 2024 03:42:55.873433767 PST","73","True"
"e6:05:a7:1e:9d:57","Oct 24, 2024 03:42:55.946990578 PST","73","True"
"e6:05:a7:1e:9d:57","Oct 24, 2024 03:42:55.968278993 PST","73","True"
"e6:5e:5c:a0:82:2b","Oct 24, 2024 03:43:09.624997478 PST","73","True"
"e6:5e:5c:a0:82:2b","Oct 24, 2024 03:43:09.640133313 PST","73","True"
"e6:5e:5c:a0:82:2b","Oct 24, 2024 03:43:09.672987516 PST","73","True"
"e6:5e:5c:a0:82:2b","Oct 24, 2024 03:43:09.735554381 PST","73","True"
"e6:5e:5c:a0:82:2b","Oct 24, 2024 03:43:09.747161228 PST","73","True"
"42:6d:18:fc:1d:29","Oct 24, 2024 03:43:19.631909932 PST","73","True"
"42:6d:18:fc:1d:29","Oct 24, 2024 03:43:19.638133786 PST","73","True"
"e6:05:a7:1e:9d:57","Oct 24, 2024 03:44:25.977170832 PST","73","True"
"e6:05:a7:1e:9d:57","Oct 24, 2024 03:44:25.999472761 PST","73","True"
